Response ID,Timestamp (mm/dd/yyyy),"Take a few moments to remember the situation that you thought of and re-experience the emotions you felt at that time as strongly as possible.In as much detail as possible, describe the events of the experience as you would explain them out loud to a friend, paying special attention to your thoughts and feelings during the event.","Which emotions were most present for you during this experience? (select all that apply) - Anger (e.g., Rage, Mad, or Irritated)","Which emotions were most present for you during this experience? (select all that apply) - Disgust (e.g., Nausea, Sickened, or Revulsion)","Which emotions were most present for you during this experience? (select all that apply) - Fear (e.g., Terror, Scared, or Panic)","Which emotions were most present for you during this experience? (select all that apply) - Anxiety (e.g., Dread, Nervous, or Worry)","Which emotions were most present for you during this experience? (select all that apply) - Sadness (e.g., Grief, Lonely, or Empty)","Which emotions were most present for you during this experience? (select all that apply) - Desire (e.g., Wanting, Craving, or Longing)","Which emotions were most present for you during this experience? (select all that apply) - Relaxation (e.g., Easygoing, Chilled out, or Calm)","Which emotions were most present for you during this experience? (select all that apply) - Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82437119,8/19/2022 14:15,I was anticipating COVID test results. It was a little nerv racking thinking what we thought about COVID at the time,,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82437114,8/19/2022 14:15,The difference is a little bit of the fun there is your,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
82437111,8/19/2022 14:15,Pacientes to wait for a tax an old guy been independent for now and girls learning music,,,,,,,,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82437109,8/19/2022 14:15,"It wasn't particularly interesting, so I didn't feel anything. I wondered if the first clip was from a film or something.","Anger (e.g., Rage, Mad, or Irritated)",,"Fear (e.g., Terror, Scared, or Panic)",,"Sadness (e.g., Grief, Lonely, or Empty)",,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
82437108,8/19/2022 14:15,This event happened when I went to the beach with family.It was a peaceful experience and was able to enjoy a fun day outdoors.,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)","Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82437100,8/19/2022 14:15,I felt to the ground because my friend foult it very enoying,,,,"Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)","Desire (e.g., Wanting, Craving, or Longing)",,
82437097,8/19/2022 14:15,Getting accurate information regarding my finances makes me happy.,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
82437085,8/19/2022 14:15,There was a time when I felt like I lost my hearing but it was just a ear infection,,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82437072,8/19/2022 14:15,I went to shopping centre and was very anxious and couldn't control myself I started crying. I felt really dumb for crying,,,,"Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82437060,8/19/2022 14:15,It very refreshing and worth watching very interesting,,,,,,"Desire (e.g., Wanting, Craving, or Longing)",,
82437057,8/19/2022 14:15,"I recently felt I would faint. I remember feeling very warm, blood rushing to my head, then feeling cold and feeling like I couldn't see. It was frightening.",,,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82437052,8/19/2022 14:15,I had a moment of rest with nothing getting to me and I even was able to rest better,,,,"Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82437048,8/19/2022 14:15,i don’t really know what caused my depression or anxiety. i think it can from the relationships that i formed and how i felt with things,"Anger (e.g., Rage, Mad, or Irritated)",,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82437043,8/19/2022 14:14,"It's one of favorite thing to me, I like it very much",,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)","Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82437035,8/19/2022 14:14,When I graduated from university I was extremely proud despite suffering from depression and anxiety throughout the entirety of the course.,,,,,,,,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82437033,8/19/2022 14:14,"We were hiking through Resurrection pass and my friend got ahead of me and all of a sudden a mother bear and her Cubs came out of the trees and onto the trail. I froze with beer and she reared up on her hind legs and started coming at me and my friend told me to pull my gun and shoot and I just shook to my core. I was panicking and was absolutely terrified shaking so much I had a problem pulling the gun out to focus on shooting the bear. At the last minute, I was able to negotiate a shot out of the gun and hit the bear in the shoulder, and the mother bear fell, and went over the side of the edge down the hill. I literally peed my pants and I don't think I stopped shaking for at least an hour.",,,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82437030,8/19/2022 14:14,Am feeling good this experience was great and comfortable,,,,,,"Desire (e.g., Wanting, Craving, or Longing)","Relaxation (e.g., Easygoing, Chilled out, or Calm)","Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82437029,8/19/2022 14:14,I felt sadness in the scene where the taxi was driving off. Made me feel as if he did not want to leave,,,,,"Sadness (e.g., Grief, Lonely, or Empty)",,,
82437024,8/19/2022 14:14,I was walking and someone almost ran me over and I started cussing and shaking my fist at them,"Anger (e.g., Rage, Mad, or Irritated)",,,,,,,
82437020,8/19/2022 14:14,"After my dad died going into a really bad flare, felt awful but obviously also upset about my dad","Anger (e.g., Rage, Mad, or Irritated)","Disgust (e.g., Nausea, Sickened, or Revulsion)","Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82437019,8/19/2022 14:14,I was suffering from Pnumonia and it was undiagnosed I could hardly breathe and I went to the Doctors and they explained what was happening and the next steps. Though I was still very unwell the relief washed over me and I felt better to actually know what was causing me to feel so bad.,,,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)",,,,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82437003,8/19/2022 14:14,Working hard to learn how to sew in school it was very important to me to show I could do it,,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82436991,8/19/2022 14:14,im not really sure what this means byt this and what this means,,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82436988,8/19/2022 14:14,"When out walking my dog, as I always do, myself and my dog were attacked. I was bites by the other dog while trying to help my own dog. I didn't know how I was going to get this dog off and what if something serious happened","Anger (e.g., Rage, Mad, or Irritated)",,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82436984,8/19/2022 14:14,"I didn’t have a change in emotions nor how I felt as a whole, saying nothing happened that much in my opinion",,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
82436977,8/19/2022 14:14,I think this was not okay and honestly I feel like this is just awful,"Anger (e.g., Rage, Mad, or Irritated)",,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82436975,8/19/2022 14:14,I felt special but not that they did it was just a momentfour me I guess,"Anger (e.g., Rage, Mad, or Irritated)",,,"Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82436973,8/19/2022 14:14,Someone got real mad and was driving like a maniac and every thing in the bed of the truck flew out,"Anger (e.g., Rage, Mad, or Irritated)",,,,,,,
82436958,8/19/2022 14:14,They are feelings that explain the tape of our lives at every stage,,,,,,"Desire (e.g., Wanting, Craving, or Longing)","Relaxation (e.g., Easygoing, Chilled out, or Calm)","Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82436950,8/19/2022 14:14,I thought of a time when I was on holiday in Spain. Getting to see the sun everyday and experience new cultures made me feel very happy,,,,,,"Desire (e.g., Wanting, Craving, or Longing)","Relaxation (e.g., Easygoing, Chilled out, or Calm)","Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82436947,8/19/2022 14:14,i was in a lot of pain bc of the accident and people said that it wasn’t there fault but ye hbqiualky they were liable for it. but no one really cared bc they didn’t wanna pay for the medical expenses,"Anger (e.g., Rage, Mad, or Irritated)","Disgust (e.g., Nausea, Sickened, or Revulsion)",,,,,,
82436945,8/19/2022 14:14,When my best friend was diagnosed with cancer. The sheer shock sadness and anger of receiving the news a feeling helpless to be able to do or say anything.,"Anger (e.g., Rage, Mad, or Irritated)","Disgust (e.g., Nausea, Sickened, or Revulsion)","Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)","Desire (e.g., Wanting, Craving, or Longing)",,
82436943,8/19/2022 14:14,I don't discuss my medical problems with anyone but my doctors.,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
82436942,8/19/2022 14:14,I haven't had positive experience in my health so can't comment on this,"Anger (e.g., Rage, Mad, or Irritated)","Disgust (e.g., Nausea, Sickened, or Revulsion)","Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)","Desire (e.g., Wanting, Craving, or Longing)",,
82436940,8/19/2022 14:14,It didn’t stir up any emotions in me. It didn’t engage me,,,,,"Sadness (e.g., Grief, Lonely, or Empty)",,,
82436939,8/19/2022 14:14,I felt quite anxious while I was watching it. But overall it was ok,,,"Fear (e.g., Terror, Scared, or Panic)",,,"Desire (e.g., Wanting, Craving, or Longing)",,
82436937,8/19/2022 14:14,There is nothing in the world as precious as a small amount of health that we are born with,,,,,"Sadness (e.g., Grief, Lonely, or Empty)",,,
82436931,8/19/2022 14:14,It was hard to explain as I passed out and woke up later not remembering anything.,,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82436923,8/19/2022 14:13,"Felt lost, and helpless. Worried about the help my loved one was getting and if we could do more to help .",,,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82436920,8/19/2022 14:13,Felt very emotional and teary knowing people cared,,,,,,"Desire (e.g., Wanting, Craving, or Longing)","Relaxation (e.g., Easygoing, Chilled out, or Calm)","Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82436912,8/19/2022 14:13,My friend tried to hurt themselves and I tried the best i could to stop them but I was too late.,"Anger (e.g., Rage, Mad, or Irritated)",,,,"Sadness (e.g., Grief, Lonely, or Empty)",,,
82436896,8/19/2022 14:13,Excited and proud to meet my granddaughter for the first time on the day she was born. Just love for this little person and wanting to keep her safe.,,,,,,,,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82436882,8/19/2022 14:13,Not sure how to explain. But i was feelinh sick and disgust,,"Disgust (e.g., Nausea, Sickened, or Revulsion)","Fear (e.g., Terror, Scared, or Panic)",,,,,
82436876,8/19/2022 14:13,"La muerte repentina de un familiar cercano, de un día para otro","Anger (e.g., Rage, Mad, or Irritated)","Disgust (e.g., Nausea, Sickened, or Revulsion)",,,"Sadness (e.g., Grief, Lonely, or Empty)",,,
82436874,8/19/2022 14:13,it was interesting to watch the students use the instruments,,,,,,,,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82436872,8/19/2022 14:13,Extremely helpful to understand the things that goes on into this world,"Anger (e.g., Rage, Mad, or Irritated)",,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
82436871,8/19/2022 14:13,I remember when I got shot in the head.I was extremely depressed over the situation.,"Anger (e.g., Rage, Mad, or Irritated)",,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82436870,8/19/2022 14:13,I thought I was going to get fired from my job and I started crying and got nervous,"Anger (e.g., Rage, Mad, or Irritated)",,,,,,,
82436855,8/19/2022 14:13,"Very vonfused, sad emotions, downbeat it did not stir happy feelings or emotions at all",,,,,"Sadness (e.g., Grief, Lonely, or Empty)",,,
82436852,8/19/2022 14:13,Extremely important painful experience and I nearly cried,"Anger (e.g., Rage, Mad, or Irritated)",,"Fear (e.g., Terror, Scared, or Panic)",,"Sadness (e.g., Grief, Lonely, or Empty)",,,
82436832,8/19/2022 14:13,When my son father died the day before Easter. It was very hard to deal with. My son is strong.,,,"Fear (e.g., Terror, Scared, or Panic)",,"Sadness (e.g., Grief, Lonely, or Empty)",,,
82436828,8/19/2022 14:13,"A high-profile, high-risk, highly visible project for a client was a much bigger and instant success than anyone anticipated. I felt immensely relieved, overwhelmed by the praise I received, chuffed - and very tired.",,,,,,,,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82436818,8/19/2022 14:13,Students playing something. They trying to d9 something,,,,,,,,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82436814,8/19/2022 14:13,Nice family time with a great vibe and good times with special company,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)","Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82436807,8/19/2022 14:13,"When i was around 8, i had a bestfriend. I got diagnosed with something and we were fighting and she told me that’s why you have a disease.","Anger (e.g., Rage, Mad, or Irritated)",,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82436805,8/19/2022 14:13,Torch fourth guy has the best to be the worst in this country for this year but the only way he,,,,,,"Desire (e.g., Wanting, Craving, or Longing)",,
82436801,8/19/2022 14:13,It’s great and awesome I love it so much I just can’t live with it,"Anger (e.g., Rage, Mad, or Irritated)",,,"Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82436799,8/19/2022 14:12,I remember when I’ve just had my son and I felt tired lonely and exhausted and my mom came to see him bearing flowers gifts etc it cheered me right up and made me feel warm and special,,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)","Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82436796,8/19/2022 14:12,Just this week learnt and perfected stage 5 of TBD planche. It is a very difficult hold in calisthenics,,,,,,"Desire (e.g., Wanting, Craving, or Longing)",,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82436793,8/19/2022 14:12,When I prayed and thought that my kidney lump might dissapear. I would say I had a bit of piece in an anxious period and I didn't care so much anymore. Relief.,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
82436787,8/19/2022 14:12,"When I had my baby. I couldn’t explain how happy I was, very emotional, I was crying and couldn’t believe that she is mine, and finally I am holding her",,,,,,"Desire (e.g., Wanting, Craving, or Longing)",,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82436785,8/19/2022 14:12,Very good quality than a good place for a start to work on the way you can do me a borrow if you want me to contact you,,,,"Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82436782,8/19/2022 14:12,It's very depressing and stressful as I can't tell anyone/trust as my loved ones destroyed our relationship fully.,"Anger (e.g., Rage, Mad, or Irritated)","Disgust (e.g., Nausea, Sickened, or Revulsion)","Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82436779,8/19/2022 14:12,Dealing with depression and anxiety my girlfriend has been above and beyond with keeping high spirits and helping,,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82436778,8/19/2022 14:12,When kissing this guy I could smell his breath and his mouth had so much slobber and all he wanted to do was to put his whole tongue deep in my mouth,"Anger (e.g., Rage, Mad, or Irritated)","Disgust (e.g., Nausea, Sickened, or Revulsion)","Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82436777,8/19/2022 14:12,I felt happy because of how they handled their emotions and feelings,,,,"Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
